Experiment: floating_5det_two_layer_low_tile
Date: 20260406_1609
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
  117 |   6.166267 |    0.8726 | 0.062936 |  0.9075 | 1.00e-03 | 51.4773 | 1500.0000 |   81.10 | 
  118 |   9.827290 |    0.8611 | 0.063755 |  0.8810 | 1.00e-03 | 51.3163 | 1500.0000 |   82.00 | 
  119 |   4.988547 |    0.8818 | 0.063175 |  0.9010 | 1.00e-03 | 51.4391 | 1500.0000 |   80.09 | 
  120 |   5.131055 |    0.8783 | 0.062495 |  0.9255 | 1.00e-03 | 51.9115 | 1500.0000 |   80.71 | Best Model Saved
  121 |   3.834836 |    0.8665 | 0.063356 |  0.8975 | 1.00e-03 | 51.3530 | 1500.0000 |   83.34 | 
  122 |   2.771373 |    0.8784 | 0.062593 |  0.9270 | 1.00e-03 | 51.7430 | 1500.0000 |   78.45 | 
  123 |   3.992069 |    0.8783 | 0.062543 |  0.9245 | 1.00e-03 | 51.6689 | 1500.0000 |   80.47 | 
  124 |   4.270040 |    0.8712 | 0.063681 |  0.8775 | 1.00e-03 | 51.2303 | 1500.0000 |   79.65 | 
  125 |   4.532991 |    0.8737 | 0.063113 |  0.8930 | 1.00e-03 | 51.4889 | 1500.0000 |   79.78 | 
  126 |   3.600856 |    0.8765 | 0.062659 |  0.9295 | 1.00e-03 | 51.6325 | 1500.0000 |   81.97 | 
  127 |   3.089748 |    0.8822 | 0.062698 |  0.9035 | 1.00e-03 | 51.6791 | 1500.0000 |   78.55 | 
  128 |   5.858140 |    0.8836 | 0.063514 |  0.8565 | 1.00e-03 | 51.4575 | 1500.0000 |   82.79 | 
  129 |   2.690223 |    0.8739 | 0.062102 |  0.9215 | 1.00e-03 | 51.9554 | 1500.0000 |   80.84 | Best Model Saved
  130 |   3.424161 |    0.8747 | 0.061523 |  0.9300 | 1.00e-03 | 52.2503 | 1500.0000 |   82.28 | Best Model Saved
  131 |   5.804645 |    0.8793 | 0.062505 |  0.9190 | 1.00e-03 | 51.7243 | 1500.0000 |   82.24 | 
  132 |   3.442679 |    0.8715 | 0.062421 |  0.9040 | 1.00e-03 | 51.9074 | 1500.0000 |   80.53 | 
  133 |   2.985930 |    0.8831 | 0.062365 |  0.8945 | 1.00e-03 | 51.9007 | 1500.0000 |   79.78 | 
  134 |   3.734661 |    0.8783 | 0.062252 |  0.8915 | 1.00e-03 | 52.0723 | 1500.0000 |   80.80 | 
  135 |   5.504341 |    0.8750 | 0.062661 |  0.8770 | 1.00e-03 | 51.7559 | 1500.0000 |   81.45 | 
